smiles,heptox
Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C,1.0
CSCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)[C@@H](N)CC(=O)O)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N,0.0
Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O,1.0
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,0.0
NC1CSSCC(NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc3ccc(O)cc3)NC1=O)C(=O)N4CCCC4C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,0.0
C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)OC[C@]4(C)[C@H]3CC[C@]12C,1.0
CNC(=O)c1c(I)c(NC(=O)C)c(I)c(C(=O)O)c1I,0.0
CC(N)COc1c(C)cccc1C,1.0
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1.0
CN1CC(c2ccccc2)c3cccc(N)c3C1,1.0
O=C1N=CN=C2NNC=C12,1.0
C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c2cccc3ccccc23,0.0
CN(C)CCOC(C)(c1ccccc1)c2ccccn2,0.0
C[N+]1(CC2CC2)CC[C@]34[C@H]5Oc6c(O)ccc(C[C@@H]1[C@]3(O)CCC5=O)c46,0.0
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,1.0
OCCN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.0
OCC(O)C(O)C(O)C(O)CO,0.0
CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c2c(CCCC)oc3ccc(NS(=O)(=O)C)cc23,1.0
CN(C)CC[C@@H](c1ccc(Cl)cc1)c2ccccn2,0.0
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCOCC5)[N+]6(CC=C)CCCC6,0.0
C\C=C\1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,0.0
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,1.0
CN1C(c2ccc(Cl)cc2)S(=O)(=O)CCC1=O,1.0
CCN(C(=O)C)c1cccc(c1)c2ccnc3c(cnn23)C#N,0.0
OC[C@H]1O[C@H]([C@@H](F)[C@@H]1O)N2C=C(I)C(=O)NC2=O,1.0
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,1.0
C[C@@H](NCC(C)(C)CN[C@H](C)\C(=N\O)\C)\C(=N\O)\C,0.0
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,1.0
N[C@H](C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N)C34CC5CC(CC(O)(C5)C3)C4,0.0
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O,0.0
