smiles,solub
CN([C@@H](Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N4CCN(CC4)c5ccc(Cl)cc5)C(=O)OC(C)(C)C,0.0
Cc1csc2ncnc(N3CCN(CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F)c12,0.0
Cc1cc(nn1C(C)(C)C)C(=O)NNS(=O)(=O)c2ccccn2,1.0
COc1ccc(OC)c(c1)N2C3=C(CCC(C)(C)C3)C=C(C2=O)c4nc(cs4)c5ccc(Cl)cc5,0.0
COc1cc(O)c(C(CC(=O)N2C[C@H](C)C[C@H](C)C2)c3nc4ccccc4s3)c(OC)c1,0.0
FC(F)(F)c1cccc(CN2C(=O)N(C(=O)c3c4CCN(Cc4sc23)C(=O)c5nccs5)c6ccccc6)c1,0.0
Cc1ccccc1S(=O)(=O)Nc2cc(ccc2C(=O)Nc3nc(cs3)c4cccc(F)c4)C(F)(F)F,0.0
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)NCC1CCCOC1,1.0
FC(F)c1ccccc1c2ncc(F)c(NCc3ccc(cc3)n4ccnn4)n2,0.0
CC1=C(C(N=C(Nc2oc3ccccc3n2)N1)c4ccncc4Br)C(=O)Nc5cc(ccn5)C(=O)O,1.0
O=S(=O)(Nc1nccs1)c2ccc(NCc3cccc4cc[nH]c34)cc2,1.0
Cc1ccc(cc1C)C2N(CC3CCNCC3)C(=O)c4ccccc24,1.0
Cc1ccc(cc1)c2cc(O)n(n2)c3nc(cs3)C(=O)O,1.0
CCc1cccc(CC)c1N2C(=O)C(=CC(=C2C(C)C)C(=O)N3CCNC(=O)C3)c4nc(cs4)c5ccc(Cl)cc5,0.0
Cc1ccccc1C(N(C(=O)Cn2cnc3ccccc23)c4cccc(F)c4)C(=O)NC5CCCC5,1.0
FC(F)(F)c1ccc(Cc2cnc(NC(=O)C3CCC(CC3)c4ccccc4)s2)cc1,0.0
CCNC(=O)N1CCN(Cc2nc3N(C)C(=O)N(C)C(=O)c3n2Cc4cccc(C)c4)CC1,1.0
COc1nccc(c1OC)c2nc(Nc3ccc(F)c(F)c3)c4ccccc4n2,0.0
Cc1ccc(C)n1c2ccsc2C(=O)O,1.0
Cc1cc(OCCCc2c([nH]c3c(cccc23)c4c(C)nn(C)c4C)C(=O)NS(=O)(=O)c5cccc(c5)C(=O)NCc6ccc(cc6)[N+](=O)[O-])cc(C)c1Cl,0.0
Cc1oc(nc1CN2CCC(CC2)C(=O)NCCCN3CCOCC3)c4ccccc4C,1.0
Fc1ccc(CC(=O)Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3)cc1Cl,0.0
CN(Cc1ccc2c(c1)nc(NC(=O)c3ccc(s3)c4cn[nH]c4)n2CC(C)(C)O)C5CCCCC5,1.0
Cc1ccc(cc1)n2ncc3c(ncnc23)c4cc(Cl)c(O)c(Cl)c4,1.0
COc1ccc(cc1COc2c(C)cc(cc2C)N(C)C(=O)C)C3N(C)c4ccccc4C(=O)N3Cc5ccc(nc5)C(F)(F)F,0.0
Cc1cc(OCCCc2c([nH]c3ccccc23)C(=O)NS(=O)(=O)CCNS(=O)(=O)c4ccccc4)cc(C)c1Cl,0.0
Cc1cc(O)n2nc(NC(=O)c3cccc4ccccc34)nc2n1,1.0
CNS(=O)(=O)c1ccc(Cc2c(O)n(nc2c3cccc(c3)c4ccccc4)c5nc(cs5)C(=O)O)cc1,1.0
CCOCCN(CCCNC(=O)C1CCN(CC1)C(=O)c2oc3ccccc3c2)Cc4ccccc4,1.0
CCc1cccc(CC)c1N2C(=C(C=C(C2=O)c3nc(c(C)s3)c4ccccc4)C(=O)N5CCNCC5)CC(C)C,0.0
CCOc1ccc(Cc2noc(n2)c3cc4sccc4n3Cc5ccccc5)cc1OCC,0.0
Cc1cc(OCCCc2c(C)n(CCC(=O)O)c3c(cccc23)c4c(C)nn(C)c4C)cc(C)c1Cl,1.0
Fc1cc(Nc2nc(nc3ccccc23)c4ccncc4)ccc1n5cncn5,0.0
