smiles,herg
NC(CCONC(=N)N)C(=O)O,0.0
COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCC(=O)OCCN3CCOCC3,0.0
OC(=O)CN1C(=O)c2cccc3cccc(C1=O)c23,0.0
CC(C)c1cc(F)cc2CC[C@](CCN(C)CCCc3nc4ccccc4[nH]3)(Cc12)OC(=O)C5CC5,1.0
Fc1ccc(cc1)C(=C2CCN(CCN3C(=S)N=C4C=CC=CC4C3=O)CC2)c5ccc(F)cc5,1.0
CN(C)CCC(c1ccc(Br)cc1)c2ccccn2,1.0
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,0.0
C[C@H]1COc2c3N1C=C(C(=O)O)C(=O)c3cc(F)c2C4(N)CC4,0.0
C(\C=C/c1ccccc1)N2CCN(CC2)C(c3ccccc3)c4ccccc4,1.0
C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]3(C)[C@H]2[C@H](O)C[C@H]4\C(=C(\CCC=C(C)C)/C(=O)[O-])\[C@H](CC34C)OC(=O)C,0.0
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,0.0
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0.0
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.0
C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)C(CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23,0.0
ClCC(=O)c1ccc(Oc2ccc(cc2)C(=O)CCl)cc1,0.0
N[C@@H](CCC(=O)O)C(=O)O,0.0
CCCCCC(=O)N,0.0
OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,0.0
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0.0
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1,1.0
OC(=O)C=C,0.0
OP(=O)(O)CP(=O)(O)O,0.0
CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,1.0
OC(=O)CC1=NN(Cc2ccc(Br)cc2F)C(=O)c3ccccc13,0.0
COc1ccc2nc(NC(=O)Nc3ccccc3)sc2c1,0.0
CC(C)(C)C(=O)NCCCC(=O)O,0.0
O\N=C/1\C(=C/2\C(=O)Nc3ccccc23)\Nc4ccccc14,0.0
CC1(C)OC2CO[C@]3(COS(=O)(=O)N)OC(C)(C)OC3C2O1,0.0
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,0.0
CCC1(CC)C(=O)NC=CC1=O,0.0
C[C@H]1CN(CC[C@@]1(C(=O)O)c2ccccc2)C3CCC(CC3)(C#N)c4ccc(F)cc4,0.0
OC(=O)[C@@H]1CCn2c1ccc2C(=O)c3ccccc3,0.0
CC(=O)SCC[N+](C)(C)C,0.0
CCCOc1ccc2[nH]c(NC(=O)OC)nc2c1,0.0
C[N+]1(C)CCOC(O)(C1)c2ccc(cc2)c3ccc(cc3)C4(O)C[N+](C)(C)CCO4,0.0
COc1ccc2[nH]c(nc2c1)S(=O)Cc3ncc(C)c(OC)c3C,0.0
CN(CCCOc1ccc(Cl)cc1Cl)CC#C,1.0
COC(=O)C(C)(N)Cc1ccc(O)cc1,0.0
Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,0.0
CCCNC[C@H](O)COc1ccccc1C(=O)CCc2ccccc2,1.0
OC(=O)c1ccccc1C(=O)Nc2ccc(cc2)S(=O)(=O)Nc3nccs3,0.0
CCCCC(CC)COC(=O)c1ccc(cc1)N(C)C,0.0
CN(C)N=Nc1nc[nH]c1C(=O)N,0.0
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13,1.0
CCN(CC)C(=O)[C@]1(C[C@@H]1CN)c2ccccc2,0.0
[O-][n+]1onc(c2ccccc2)c1C#N,1.0
NCCCCN,0.0
CC1(C)\C(=C\C=C\C=C\C=C\C2=[N+](CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)\N(CCCCS(=O)(=O)[O-])c5ccc6ccccc6c15,0.0
COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c1c2ccc(F)cc2)C(C)C,0.0
CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,0.0
Cc1c(Cl)cccc1Nc2ccccc2C(=O)O,0.0
