smile,solub
Cc1ccccc1\C=N\N2C(=S)NN=C2C3CCCCC3,0
COCCCNC(=O)COc1ccc2oc3CCCCc3c2c1,1
CCN1\C(=N\S(=O)(=O)c2ccccc2)\S\C(=C\N(C)C)\C1=O,1
Cc1cc(C)c2nc(NC(=O)c3occc3)sc2c1,0
Fc1ccc(CNC(=O)CSc2nccn2c3ccccc3)cc1,1
Cc1ccc2c(c1)c3CCCC4NCCn2c34,1
Cc1ccn2cc(CNS(=O)(=O)c3cccs3)nc2c1,1
COc1cc(SC)ccc1C(=O)NNC(=O)C2COc3ccccc3O2,0
CCC(CC)c1nnc(NC(=O)c2cc(ccc2N3CCOCC3)N(=O)=O)s1,0
CC(C)CN(C(=O)CN(C)CC(=O)Nc1ccccc1C#N)C2=C(N)N(CC(C)C)C(=O)NC2=O,1
CN1C(=O)\C(=N/Nc2ccccc2N(=O)=O)\c3ccccc13,0
Nc1nc2c(nnn2c3ccccc13)C(=O)N4CCOCC4,1
NC(=O)Cn1nc(nc1c2ccccc2)c3ccccc3,1
CN(C1CCS(=O)(=O)C1)C(=O)CSC2=Nc3ccccc3C(=O)N2c4ccccc4Cl,1
Fc1ccc(cc1)c2cc(C(=O)Nc3ncccn3)c4ccccc4n2,1
CC(NC(=S)NC(=O)c1ccccc1Br)c2ccccc2,0
Cc1ccc(NC(=O)C2CC2c3ccccc3)c(c1)N(=O)=O,0
OCc1nc2ccccc2n1CCOc3ccccc3,1
COc1cc(CSC2=NC(=O)C=C(N2)c3ccccc3)cc(OC)c1,0
COc1ccccc1CC(=O)NC23CC4CC(CC(C4)C2)C3,0
NC(=O)C1CCN(CC1)c2oc(nc2S(=O)(=O)c3ccc(Cl)cc3)c4cccs4,1
CCc1ccc(OCC(=O)Oc2ccc(cc2)N(=O)=O)cc1,1
CC1=CC(=O)Oc2cc(OCC(=O)N3c4ccccc4NC(=O)C3(C)C)ccc12,1
CCOc1ccc(NC(=O)c2ccc(CC)s2)c(c1)N(=O)=O,0
CSc1nc2ccc(NC(=O)C3=CNC(=O)C=C3)cc2s1,1
Cc1cc(on1)C(=O)NC2CCCCC2,1
COc1ccccc1NC(=O)CCN2C(=O)c3ccccc3C2=O,1
O=C(Nc1ccccc1)Nc2ccc3ccccc3c2,0
CN(Cc1ccccc1C)C2CCN(C)CC2,1
CN(C)c1ccc(CN(C)C(=O)c2oc3ccccc3c2)cc1,1
CCOC(=O)N1CCN(C1)S(=O)(=O)c2ccc(C)cc2,1
COC(=O)\C=C\1/NC(=NC1=O)Nc2nc(C)c3cc(OC)ccc3n2,0
